Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
https://economicfreedom.heritage.org

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Japan,2026,70.3,94.2,81.1,97.9,63,52,41.7,77.8,65.9,74.3,76.2,60,60
Japan,2025,70.2,95.1,82.8,96,62.5,47.5,41.6,78,67.8,74.4,76.2,60,60
Japan,2024,67.5,94.6,82.6,93.6,63.3,42.5,0,77.5,68.6,81.7,75.8,70,60
Japan,2023,69.3,94.1,94.7,80.7,68.1,48.4,18.1,78.3,66.8,87.1,75.2,60,60
Japan,2022,69.9,94.6,81.4,95.3,67.4,52.5,19.7,78.3,66.6,87.1,75.4,60,60
Japan,2021,74.1,87.8,82,75.5,67.8,57.8,67.5,85.9,79,85.1,80.4,60,60
Japan,2020,73.3,86.6,80.5,71.4,68.3,55.8,62,81.4,78.7,84.4,80,70,60
Japan,2019,72.1,84.1,78,68.5,68.2,55,55.7,80.5,79,85.9,80,70,60
Japan,2018,72.3,86,79.2,73.2,67.4,54.1,49.3,81.7,79.2,85.4,82.3,70,60
Japan,2017,69.6,89.4,86.1,73.8,68.5,52.3,9.5,82.3,77.5,83,82.6,70,60
Japan,2016,73.1,80,76,N/A,68.5,46.2,N/A,82.5,83.9,81.2,82.6,70,60
Japan,2015,73.3,80,74,N/A,68.7,47.1,N/A,84.1,90.2,86.7,82.6,70,50
Japan,2014,72.4,80,77.8,N/A,69.2,47.1,N/A,80,79.8,87.5,82.4,70,50
Japan,2013,71.8,80,80,N/A,69.2,45,N/A,81.3,80.3,90.6,81.8,60,50
Japan,2012,71.6,80,78,N/A,67.1,47,N/A,81.8,81.4,88.9,81.8,60,50
Japan,2011,72.8,80,77,N/A,67,58.7,N/A,83.8,81.1,87.9,82.6,60,50
Japan,2010,72.9,80,73,N/A,67.2,61.1,N/A,84.5,82.4,88.8,82.4,60,50
Japan,2009,72.8,70,75,N/A,67.5,61.1,N/A,85.8,82.5,93.6,82,60,50
Japan,2008,73,70,76,N/A,70.3,56.2,N/A,88.1,85.1,94.3,80,60,50
Japan,2007,72.7,70,73,N/A,70.9,58.3,N/A,91.2,83,90.9,80.2,60,50
Japan,2006,73.3,70,69,N/A,70.9,58.3,N/A,87.2,84.4,92.5,80.2,70,50
Japan,2005,67.3,70,70,N/A,70.7,57.6,N/A,70,83.3,90.6,80.6,50,30
Japan,2004,64.3,70,71,N/A,62.4,55.1,N/A,70,N/A,89.2,80.8,50,30
Japan,2003,67.6,70,71,N/A,70.3,56.7,N/A,70,N/A,89.8,81,50,50
Japan,2002,66.7,70,64,N/A,70.7,54.4,N/A,70,N/A,90.6,80.4,50,50
Japan,2001,70.9,90,60,N/A,70.4,58.9,N/A,85,N/A,92.8,80.6,50,50
Japan,2000,70.7,90,58,N/A,70.1,63.3,N/A,85,N/A,89,81,50,50
Japan,1999,69.1,90,66,N/A,53.9,59.8,N/A,85,N/A,88.2,79,50,50
Japan,1998,70.2,90,71,N/A,53.8,60.9,N/A,85,N/A,92.9,79,50,50
Japan,1997,70.3,90,67,N/A,54.2,63,N/A,85,N/A,92,81,50,50
Japan,1996,72.6,90,90,N/A,53.6,63.9,N/A,85,N/A,88.9,82,50,50
Japan,1995,75,90,90,N/A,53.6,67.7,N/A,85,N/A,87,82,50,70
